date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:44	7403/7403	---M--	200	added ('OK')	image/png	etag:%2261d3628c-1ceb%22	https://opytex.com.br/media/static/img/about-us-features-bg.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/about-us-features-bg.png	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:44	131862/131862	---M--	200	added ('OK')	image/jpeg	etag:%2261d36270-20316%22	https://opytex.com.br/media/static/img/story-section-bg.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/story-section-bg.jpg	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:44	1005610/1005610	---M--	200	added ('OK')	image/png	etag:%2261d36274-f582a%22	https://opytex.com.br/media/static/img/we-are-opytex.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/we-are-opytex.png	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:45	8347/8347	---M--	200	added ('OK')	image/png	etag:%2261d36278-209b%22	https://opytex.com.br/media/static/img/download-overlay.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/download-overlay.png	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:45	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Feb%202023%2021:27:45%20GMT	https://alternativaverdesolar.com.br/media/static/img/controls.png	C:/Users/opytex-note-1/Documents/opytex/alternativaverdesolar.com.br/media/static/img/controls.png	(from https://alternativaverdesolar.com.br/media/static/css/lightslider.css)
18:27:46	217900/217900	---M--	200	added ('OK')	image/png	etag:%2261d36292-3532c%22	https://opytex.com.br/media/static/img/quem-somos-bg.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/quem-somos-bg.png	(from https://opytex.com.br/sobre/)
18:27:46	11768/11768	---M--	200	added ('OK')	image/png	etag:%2261d36280-2df8%22	https://opytex.com.br/media/static/img/opytex-logo-symbol.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/opytex-logo-symbol.png	(from https://opytex.com.br/sobre/)
18:27:46	127404/127404	---M--	200	added ('OK')	image/webp	etag:%2261d3628e-1f1ac%22	https://opytex.com.br/media/static/img/quem-somos-photo.webp	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/quem-somos-photo.webp	(from https://opytex.com.br/sobre/)
18:27:47	129/129	---M--	200	added ('OK')	image/svg+xml	etag:%2261d3628e-81%22	https://opytex.com.br/media/static/img/dot.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/dot.svg	(from https://opytex.com.br/produtos/)
18:27:47	300040/300040	---M--	200	added ('OK')	image/png	etag:%2261d36270-49408%22	https://opytex.com.br/media/static/img/produtoss-header-bg.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/produtoss-header-bg.png	(from https://opytex.com.br/produtos/)
18:27:47	50392/50392	---M--	200	added ('OK')	image/png	etag:%2261d36272-c4d8%22	https://opytex.com.br/media/static/img/opytex-products.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/opytex-products.png	(from https://opytex.com.br/produtos/)
